type,prix,adresse,image_lien
chaussures,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928091_uploaded_image1_1725487369.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg
chaussures,11 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921251_uploaded_image1_1725193733.jpg
chaussures,9 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921241_uploaded_image1_1725193496.jpg
chaussures,8 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921233_uploaded_image1_1725193317.jpg
chaussures,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4870683_uploaded_image2_1722496365.jpeg
chaussures,3 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg
chaussures,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781990_uploaded_image1_1717637500.jpg
chaussures,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781989_uploaded_image1_1717637364.jpg
chaussures,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4779994_uploaded_image1_1717548193.jpg
chaussures,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4779993_uploaded_image1_1717548114.jpg
chaussures,2 500CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4775765_uploaded_image1_1717362018.jpg
chaussures,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4763656_uploaded_image1_1716765652.jpg
chaussures,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4735737_uploaded_image1_1715305215.jpg
chaussures,2 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg
chaussures,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
chaussures,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4656153_uploaded_image1_1711205088.jpg
chaussures,2 500CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4632466_uploaded_image1_1709901740.jpg
chaussures,2 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4626680_uploaded_image1_1709644598.jpg
chaussures,17 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg
chaussures,6 500CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608262_uploaded_image1_1708692132.jpg
chaussures,6 500CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608259_uploaded_image1_1708692072.jpg
chaussures,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg
chaussures,6 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
chaussures,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514824_uploaded_image1_1703615498.jpg
chaussures,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514805_uploaded_image1_1703614843.jpg
chaussures,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4476393_uploaded_image1_1701209697.jpg
chaussures,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517970_uploaded_image2_1703783616.jpeg
chaussures,9 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4516156_uploaded_image1_1703690655.jpg
chaussures,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513355_uploaded_image1_1703506842.jpg
chaussures,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464312_uploaded_image1_1700415241.jpg
chaussures,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464284_uploaded_image1_1700414113.jpg
chaussures,9 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4486289_uploaded_image1_1701786845.jpg
chaussures,6 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4452170_uploaded_image1_1699621092.jpg
chaussures,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4481347_uploaded_image1_1701486467.jpg
chaussures,3 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4404739_uploaded_image1_1696545306.jpg
chaussures,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4402939_uploaded_image1_1696449724.jpg
chaussures,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4396653_uploaded_image1_1696082279.jpg
chaussures,20 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4430647_uploaded_image1_1698289087.jpg
chaussures,2 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4427622_uploaded_image2_1698104491.jpeg
chaussures,5 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4422835_uploaded_image1_1697766757.jpg
chaussures,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4381758_uploaded_image1_1695064657.jpg
chaussures,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg
chaussures,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375022_uploaded_image1_1694607723.jpg
chaussures,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375003_uploaded_image1_1694607226.jpg
chaussures,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4372705_uploaded_image1_1694464836.jpg
chaussures,11 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402279_uploaded_image1_1696422852.jpg
chaussures,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4397886_uploaded_image1_1696179932.jpg
chaussures,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4396320_uploaded_image1_1696061527.jpg
chaussures,15 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394927_uploaded_image1_1695956109.jpg
chaussures,6 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4392112_uploaded_image1_1695751474.jpg
chaussures,28 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4367839_uploaded_image2_1694130362.jpeg
