type,prix,adresse,image_lien
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4659691_uploaded_image1_1711411286.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4653806_uploaded_image1_1711066086.jpg
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651640_uploaded_image1_1710950622.jpg
habits,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651598_uploaded_image1_1710949536.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4645364_uploaded_image1_1710623336.jpg
habits,13 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4645145_uploaded_image1_1710608095.jpg
habits,13 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4643810_uploaded_image1_1710528700.jpg
habits,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686601_uploaded_image1_1712843423.jpg
habits,4 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686597_uploaded_image1_1712843301.jpg
habits,3 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686588_uploaded_image1_1712843043.jpg
habits,1 700CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686576_uploaded_image1_1712842903.jpg
habits,1 500CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4686563_uploaded_image1_1712842706.jpg
habits,18 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639600_uploaded_image1_1710311876.jpg
habits,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639590_uploaded_image1_1710311581.jpg
habits,9 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4677506_uploaded_image1_1712318751.jpg
habits,20 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676613_uploaded_image1_1712271072.jpg
habits,2 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4672209_uploaded_image1_1712088527.jpg
habits,15 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4655936_uploaded_image1_1711198926.jpg
habits,5 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608935_uploaded_image1_1708714886.jpg
habits,15 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4652500_uploaded_image1_1711013502.jpg
habits,15 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651732_uploaded_image1_1710953991.jpg
habits,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600870_uploaded_image1_1708347775.jpg
habits,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600864_uploaded_image1_1708347454.jpg
habits,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600865_uploaded_image1_1708347569.jpg
habits,12 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600868_uploaded_image1_1708347690.jpg
habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624772_uploaded_image2_1709562313.jpeg
habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623255_uploaded_image2_1709484828.jpeg
habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623058_uploaded_image1_1709473724.jpg
habits,15 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623032_uploaded_image1_1709472242.jpg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615109_uploaded_image1_1709070529.jpg
habits,5 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615094_uploaded_image1_1709070182.jpg
habits,15 000CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608080_uploaded_image1_1708687411.jpg
habits,9 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4607426_uploaded_image1_1708642698.jpg
habits,3 500CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4606506_uploaded_image1_1708607013.jpg
habits,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604387_uploaded_image1_1708513793.jpg
habits,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604385_uploaded_image1_1708513782.jpg
habits,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604379_uploaded_image1_1708513648.jpg
habits,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604378_uploaded_image1_1708513583.jpg
habits,8 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg
habits,2 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4588746_uploaded_image1_1707650951.jpg
habits,500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4585357_uploaded_image1_1707428281.jpg
habits,4 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg
habits,8 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571573_uploaded_image1_1706729137.jpg
habits,8 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571570_uploaded_image1_1706729054.jpg
habits,10 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571564_uploaded_image1_1706728937.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
habits,6 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510412_uploaded_image1_1703252917.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510416_uploaded_image1_1703253068.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg
habits,5 500CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4538922_uploaded_image1_1704933290.jpg
habits,6 000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4527014_uploaded_image1_1704375688.jpg
habits,5 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg
habits,5 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522837_uploaded_image1_1704190481.jpg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517974_uploaded_image2_1703783715.jpeg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4516547_uploaded_image1_1703706216.jpg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513354_uploaded_image3_1703506745.jpeg
habits,5 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg
habits,5 500CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511870_uploaded_image1_1703349818.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
habits,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4455065_uploaded_image1_1699814184.jpg
habits,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
habits,7 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4467057_uploaded_image1_1700591564.jpg
