type,prix,adresse,image_lien
chaussures,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380962_uploaded_image1_1750268329.jpg
chaussures,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380959_uploaded_image1_1750268225.jpg
chaussures,21 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379616_uploaded_image1_1750201036.jpg
chaussures,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5335985_uploaded_image1_1747682655.jpg
chaussures,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375053_uploaded_image1_1749944221.jpg
chaussures,13 500CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371448_uploaded_image1_1749743120.jpg
chaussures,12 500CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371443_uploaded_image1_1749742989.jpg
chaussures,14 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369353_uploaded_image1_1749639708.jpg
chaussures,20 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332230_uploaded_image1_1747444488.jpg
chaussures,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368229_uploaded_image1_1749571634.jpg
chaussures,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367274_uploaded_image1_1749513863.jpg
chaussures,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344646_uploaded_image1_1748182098.jpg
chaussures,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332090_uploaded_image1_1747434845.jpg
chaussures,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332091_uploaded_image1_1747434908.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351571_uploaded_image1_1748560945.jpg
chaussures,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341256_uploaded_image1_1747953772.jpg
chaussures,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341258_uploaded_image1_1747953837.jpg
chaussures,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351566_uploaded_image1_1748560780.jpg
chaussures,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351559_uploaded_image1_1748560482.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351558_uploaded_image1_1748560435.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351557_uploaded_image1_1748560355.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5341252_uploaded_image1_1747953598.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5357454_uploaded_image1_1748906110.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5357431_uploaded_image1_1748905422.jpg
chaussures,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5357425_uploaded_image1_1748905162.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5357418_uploaded_image1_1748904948.jpg
chaussures,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5357416_uploaded_image1_1748904881.jpg
chaussures,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5362529_uploaded_image1_1749164594.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5362520_uploaded_image1_1749164124.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5362514_uploaded_image1_1749163692.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355476_uploaded_image1_1748815189.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355462_uploaded_image1_1748814534.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355453_uploaded_image1_1748814029.jpg
chaussures,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342583_uploaded_image1_1748031990.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342587_uploaded_image1_1748032191.jpg
chaussures,25 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365742_uploaded_image1_1749418905.jpg
chaussures,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5330113_uploaded_image1_1747337081.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5348410_uploaded_image1_1748373021.jpg
chaussures,9 500CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5365566_uploaded_image1_1749410561.jpg
chaussures,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329841_uploaded_image1_1747328617.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352616_uploaded_image1_1748628699.jpg
chaussures,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352617_uploaded_image1_1748628750.jpg
chaussures,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329838_uploaded_image1_1747328563.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352618_uploaded_image1_1748628798.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352608_uploaded_image1_1748628558.jpg
chaussures,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352612_uploaded_image1_1748628640.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5339072_uploaded_image1_1747848346.jpg
chaussures,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5339056_uploaded_image1_1747847898.jpg
chaussures,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352597_uploaded_image1_1748628223.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352594_uploaded_image1_1748628110.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352599_uploaded_image1_1748628301.jpg
chaussures,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5339050_uploaded_image1_1747847679.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352585_uploaded_image1_1748627915.jpg
chaussures,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344859_uploaded_image1_1748194369.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5339043_uploaded_image1_1747847564.jpg
chaussures,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352582_uploaded_image1_1748627619.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5352579_uploaded_image1_1748627471.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344847_uploaded_image1_1748194098.jpg
chaussures,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344836_uploaded_image1_1748193643.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326084_uploaded_image1_1747152804.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326073_uploaded_image1_1747152250.jpg
chaussures,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326060_uploaded_image1_1747151959.jpg
chaussures,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326065_uploaded_image1_1747152038.jpg
chaussures,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335718_uploaded_image1_1747671521.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5358876_uploaded_image1_1748971049.jpg
chaussures,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320664_uploaded_image1_1746830837.jpg
chaussures,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320634_uploaded_image1_1746829909.jpg
chaussures,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320656_uploaded_image1_1746830707.jpg
chaussures,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320628_uploaded_image1_1746829675.jpg
chaussures,Prix sur demande,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5364177_uploaded_image1_1749301086.jpg
chaussures,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318675_uploaded_image1_1746735235.jpg
chaussures,17 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5318493_uploaded_image1_1746728698.jpg
chaussures,20 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5362506_uploaded_image1_1749163263.jpg
chaussures,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314916_uploaded_image1_1746554149.jpg
chaussures,16 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314910_uploaded_image1_1746554047.jpg
chaussures,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5314898_uploaded_image1_1746553752.jpg
chaussures,15 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360403_uploaded_image1_1749049684.jpg
chaussures,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360164_uploaded_image1_1749041699.jpg
chaussures,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360111_uploaded_image1_1749039993.jpg
chaussures,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5360021_uploaded_image1_1749037309.jpg
chaussures,14 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359386_uploaded_image1_1748994671.jpg
chaussures,14 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359383_uploaded_image1_1748994555.jpg
chaussures,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313318_uploaded_image1_1746471196.jpg
chaussures,12 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313152_uploaded_image1_1746464722.jpg
chaussures,10 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5313151_uploaded_image1_1746464604.jpg
chaussures,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359026_uploaded_image1_1748977576.jpg
chaussures,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359022_uploaded_image1_1748977431.jpg
chaussures,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359020_uploaded_image1_1748977345.jpg
chaussures,14 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359016_uploaded_image1_1748977243.jpg
